Title,Publisher,Valuable,Count,IDnum
Bloom In Blizard,Looping Games,FALSE,1,1989
Gugong,Looping Games,FALSE,2,3378
Pret-a-Porter,Looping Games,FALSE,2,3379
Ilos,Mayday Games,FALSE,1,3115
3 Laws Of Robotics,Floodgate Games,FALSE,1,3324
